ID,Title,Geek_Rating,Avg_Rating,Num_of_Voters,BGP_Price,Price,Year,Complexity,Min_Players,Max_Players,Min_Time,Max_Time,Min_Age,Type1,Type2
54043,Jaipur,7.366,7.48,55563,21.59,24.99,2009,1.46,2,2,30,30,10,Family,
233867,Welcome To...,7.359,7.51,33394,23.99,43.49,2018,1.84,1,100,25,25,10,Family,
,Earth,7.358,7.64,18928,,39.95,2023,2.9,1,5,45,90,13,Strategy,
271896,Star Wars: Outer Rim,7.356,7.74,14171,67.99,80,2019,2.58,1,4,120,180,14,Thematic,
339789,Welcome to the Moon,7.354,7.89,8398,35.99,44.99,2021,2.45,1,6,25,30,10,Family,Thematic
121,Dune,7.353,7.93,10032,53.45,92.43,2019,3.98,2,6,120,180,14,Strategy,Thematic
,Great Western Trail: Argentina,7.351,8.25,4853,,53.22,2022,3.92,1,4,75,150,12,Strategy,
188920,This War of Mine: The Board Game,7.347,7.77,14077,61.99,65.88,2017,3.33,1,6,45,120,18,Thematic,
43111,Chaos in the Old World,7.346,7.66,15982,149.99,,2009,3.2,3,4,60,120,13,Strategy,Thematic
9609,War of the Ring,7.344,7.78,10886,,94.58,2004,3.85,2,4,120,120,12,Thematic,Wargames
314491,Meadow,7.336,7.71,12651,41.99,43.99,2021,2.25,1,4,60,90,10,Family,Strategy
316377,7 Wonders (Second Edition),7.335,7.83,10285,47.99,46.05,2020,2.3,3,7,30,30,10,Family,Strategy
10630,Memoir '44,7.335,7.53,31181,55.99,,2004,2.27,2,8,30,60,8,Wargames,
227224,The Red Cathedral,7.332,7.67,14392,27.97,34.95,2020,2.82,1,4,80,80,10,Strategy,
104162,Descent: Journeys in the Dark (Second Edition),7.33,7.61,25763,93.98,,2012,3.21,1,5,120,120,14,Thematic,
199561,Sagrada,7.328,7.47,45258,29.97,35.9,2017,1.92,1,4,30,45,14,Abstract,Family
118,Modern Art,7.324,7.52,24284,27.99,31.95,1992,2.29,3,5,45,45,10,Strategy,
25021,Sekigahara: The Unification of Japan,7.322,7.99,6421,60.47,72.44,2011,2.8,2,2,180,180,14,Wargames,
242302,Space Base,7.32,7.54,21757,35.99,44.54,2018,2.13,2,5,60,60,14,Family,
15,Cosmic Encounter,7.32,7.51,34210,56.49,66.59,2008,2.58,3,5,60,120,12,Strategy,Thematic
155426,Castles of Mad King Ludwig,7.319,7.51,26902,52.47,55.03,2014,2.65,1,4,90,90,13,Strategy,
,Star Wars: The Deckbuilding Game,7.316,7.84,9316,,30.39,2023,2.04,2,2,30,90,12,Family,Strategy
,John Company: Second Edition,7.314,8.28,4738,,,2022,4.46,1,6,90,240,13,Strategy,Thematic
128882,The Resistance: Avalon,7.312,7.5,35442,18.47,24.8,2012,1.74,5,10,30,30,13,Party,
300531,Paleo,7.312,7.67,14695,39.97,51.41,2020,2.65,2,4,45,60,10,Strategy,Thematic
188,Go,7.31,7.66,17939,,28.7,-2200,3.91,2,2,30,180,8,Abstract,
287954,Azul: Summer Pavilion,7.309,7.58,18224,19.99,31.99,2019,2.07,2,4,30,45,8,Abstract,Family
17133,Railways of the World,7.309,7.67,12487,91.99,149.99,2005,3.02,2,6,120,120,10,Strategy,
103343,A Game of Thrones: The Board Game (Second Edition),7.309,7.53,36064,59.99,51.91,2011,3.73,3,6,120,240,14,Strategy,
282524,Horrified,7.308,7.61,18680,29.99,39.99,2019,2.02,1,5,60,60,10,Family,Thematic
299659,Clash of Cultures: Monumental Edition,7.306,8.28,4652,,139.95,2021,3.71,2,4,180,240,14,Strategy,
31627,Ticket to Ride: Nordic Countries,7.305,7.62,14736,47.99,41.99,2007,1.97,2,3,30,60,8,Family,
70149,Ora et Labora,7.302,7.68,11372,49.97,53.89,2011,3.89,1,4,60,180,13,Strategy,
,Return to Dark Tower,7.3,8.22,5312,,184.97,2022,2.65,1,4,100,120,10,Thematic,
822,Carcassonne,7.296,7.41,134636,31.99,30.99,2000,1.89,2,5,30,45,7,Family,
171131,Captain Sonar,7.294,7.51,22818,48.79,,2016,2.2,2,8,45,60,14,Party,Thematic
148228,Splendor,7.293,7.42,86289,31.99,31.99,2014,1.78,2,4,30,30,10,Family,
14105,Commands & Colors: Ancients,7.29,7.78,9023,48.47,,2006,2.69,2,2,60,60,12,Wargames,
123260,Suburbia,7.29,7.46,26040,41.99,61.73,2012,2.76,1,4,60,90,8,Strategy,
104006,Village,7.289,7.49,24029,35.37,83.07,2011,3.06,2,4,60,90,12,Strategy,
285967,Ankh: Gods of Egypt,7.284,7.75,10838,79.99,79.99,2021,3.12,2,5,90,90,14,Strategy,
241451,Aeon's End: Legacy,7.284,8.06,5611,91.53,86.26,2019,2.84,1,4,45,90,14,Strategy,
150376,Dead of Winter: A Crossroads Game,7.284,7.45,47988,63.99,,2014,3.01,2,5,60,120,13,Thematic,
215,Tichu,7.282,7.58,16362,11.47,,1991,2.34,4,4,60,60,10,Strategy,
,Andromeda's Edge,7.28,8.34,4350,,364.99,2024,3.72,2,4,80,160,14,Strategy,
269207,The Taverns of Tiefenthal,7.276,7.57,16077,44.99,69.99,2019,2.68,2,4,60,60,12,Strategy,
293014,Nidavellir,7.275,7.57,15264,35.99,37.42,2020,2.11,2,5,45,45,10,Family,Strategy
182631,Star Realms: Colony Wars,7.268,7.79,8596,12.97,17.95,2015,1.9,2,2,20,20,12,Strategy,
7854,YINSH,7.267,7.71,9522,29.97,39.93,2003,2.64,2,2,30,60,9,Abstract,
9209,Ticket to Ride,7.266,7.39,95159,39.99,46.15,2004,1.82,2,5,30,60,8,Family,
91,Paths of Glory,7.266,8.08,5493,92.94,,1999,3.85,2,2,480,480,14,Wargames,
245638,Coimbra,7.265,7.61,12598,55.99,44.54,2018,3.25,2,4,60,90,14,Strategy,
306735,Under Falling Skies,7.263,7.62,13023,24.95,29.99,2020,2.4,1,1,20,40,12,Strategy,
